starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:50 2023	1677857390	0	80	80	77
Fri Mar 03 16:29:50 2023	1677857390	0	80	80	79
Fri Mar 03 16:29:52 2023	1677857392	0	80	80	79
Fri Mar 03 16:29:49 2023	1677857389	0	80	80	80
Fri Mar 03 16:29:52 2023	1677857392	0	80	80	80
Fri Mar 03 16:29:51 2023	1677857391	0	80	80	80
Fri Mar 03 16:29:51 2023	1677857391	0	80	80	80
Fri Mar 03 16:29:49 2023	1677857389	0	81	81	53
Fri Mar 03 16:29:52 2023	1677857392	0	81	81	80
Fri Mar 03 16:29:54 2023	1677857394	0	81	81	80
Fri Mar 03 16:29:54 2023	1677857394	0	81	81	73
Fri Mar 03 16:29:52 2023	1677857392	0	81	81	80
Fri Mar 03 16:29:52 2023	1677857392	0	81	81	81
Fri Mar 03 16:29:49 2023	1677857389	0	81	82	80
Fri Mar 03 16:29:54 2023	1677857394	0	82	82	81
